问题,是否有效,评判依据
都是假人,否,内容无实际意义
这是个AI吗,是,提问适合直播
孩子16岁，爱起痘，推荐水乳洗面奶哪款,是,提问适合直播
下单防嗮啦,是,提问购买意向
有首礼吗,是,询问直播福利
上午好,是,问候语，适合环境
直播间下单算邓为的嘛？,是,提问适合直播
还有小卡送吗,是,询问活动细节
今天怎么又贵了,是,询问价格变动
来了来了,是,观众打招呼
小卡应该是没有的,是,提问商品情况
昨天晚安蜜260,是,询问产品信息
昨天晚安乳260,否,内容不明确
干皮用哪个,是,提问适合直播
粉底干皮用哪个,是,提问适合直播
水和奇迹面霜60毫升怎么买,是,询问产品购买
安睡裤和普通拉拉裤尺码区别大吗？,是,提问适合直播环境
直播专享券怎么领呀,是,提问适合直播环境
新生儿可以用哪款面霜,是,提问适合直播
安睡裤在几号链接,是,询问商品链接
男士控油选哪个,是,提问适合直播
这个好还是安睡裤好,是,提问适合直播
早上好,是,问候语
有没有优惠,是,询问优惠信息
抽正装是几号抽,是,询问商品信息
包邮不,是,询问邮费情况
下单多久可以发货呢,是,提问发货时间
好的,是,简短有效评论
安睡拉拉裤最大就只有两个XL吗？,是,提问产品规格
适合多大年龄使用,是,提问适用年龄
后期配音,是,提问适合直播
ai换脸吗,是,提问适合直播
没有3个XL吗？安睡裤,是,询问产品尺码
涵[*神了],否,含表情符号
不是录屏吧,是,询问直播真实性
看bb霜,是,询问产品信息
早！,是,简单问候
是先用超抗小白瓶还是先用淡斑小白瓶,是,提问适合直播
AI直播了？,是,提问直播内容
这是虚拟人物,否,内容无实际意义
有红包雨吗,是,询问活动信息
色提因精华和精华蜜的区别,是,提问产品区别
左边是下单都可送吗？,是,提问适合直播
直播间秒杀什么时候开始？,是,提问适合直播
需要眼霜，精华露怎么排划算,是,提问适合直播
用备注吗,是,提问适合直播
他是机器人吧[-大哭],是,疑问主播身份
[-哈哈哈],否,纯表情符号
机器人,是,询问数字人直播
固体唇膏,是,提问产品信息
这Ai！,是,询问数字人直播
固体唇蜜的色号,是,询问产品信息
昨天晚上下单的今天可以抽奖吗,是,提问适合直播
恒温碗,是,提问产品信息
送包什么买，减60什么买,是,询问优惠信息
看看安抚奶嘴,是,提问商品信息
几点有劵啊,是,询问优惠信息
镇店爆款到手都有哪些,是,询问产品信息
500充值昨天等到凌晨根本没有开,是,提问有效
这是ai主播,是,内容相关
我要面霜几号链接,是,询问产品链接
小朋友用哪款,是,提问产品信息
桃子水单件跟两瓶怎么图片不一样，,是,询问产品差异
拍几号？,是,询问产品信息
这是AI生成的主播吗？,是,提问主播身份
一级帮拉拉裤L什么时候有货,是,询问商品信息
没在直播下单赠送吗,是,提问适合直播
买了红腰子付了定金，早上想付尾款怎么取消了呢,是,提问有关付款
直播间加赠，怎么操作,是,提问适合直播
紫米和B5哪个补水效果好,是,提问适合直播环境
还沒付尾款那,是,适合电商提问
小孩子可用吗,是,提问适合直播
沒付尾款，能收到货吗,是,适合电商提问
香水如果不喜欢味道怎么办,是,提问适合直播
2024口红,是,询问产品信息
婴儿可以摸吗,否,内容不当
没付尾款能收到吗,是,适合电商提问
主播早上好,是,问候语有效
奶嘴怎么单独购买,是,提问适合直播环境
圣罗兰的口红好用之前朋友送了我一只,是,评论内容相关
不是直播的,否,内容无关
高保湿乳没有了吗？白瓶的，跟高保湿水一套的,是,询问产品信息
你是AI？,是,提问主播身份
羽西产品分年龄段使用吗,是,提问适合直播
您好，赠品50ml小样没货了，下完单等有货能补货吗,是,适合电商提问
华丽摇滚仙女泪断货回归！抓紧抢！[-666][-666][-666][-666][-666],是,产品热度反馈
显白肤色的口红哪款？2024咋样,是,提问适合直播环境
手是真的,否,内容不明确
人是假的,否,内容不明确
AI机器人美女,否,内容不当
真的啊,否,内容含糊
绿标买哪种,是,询问产品信息
[-傻笑],否,纯表情符号
是机器人在讲吗,是,提问适合直播
羽西产品分年龄段使用,是,提问适合直播
看手应该是真人,是,内容相关适合直播
W01,否,内容无实际意义
绿标买哪个链接呢,是,询问购买链接
早好,是,问候语
赠送产品吧,是,提出产品请求
这是qi,否,内容不明确
fa[-爱了爱了],否,纯表情无实际意义
都需要快递费吗,是,适合电商提问
直播如此不用心，这分明就是广告,是,提出直播质疑
亲爱的，W01链接有吗？下单送什么？,是,询问产品信息
买64和39链接怎么划算,是,询问商品优惠
绿瓶面霜一瓶多钱,是,询问产品价格
干性皮肤,是,提问适合直播
有没有温泉矿物爽肤水,是,提问适合直播环境
喝水怎么办呢,否,内容不明确
防晒有优惠吗,是,询问产品优惠
怎么办,否,内容不明确
人机主播吗,是,提问主播身份
男孩长痘又脱皮买哪种,是,提问适合直播
保湿效果好的推荐一套,是,提问适合直播
男士保湿效果好一点的推荐一套,是,提问适合直播环境
满减券啥时候有啊,是,提问适合直播环境
B5修复精华有吗？,是,提问商品信息
感觉主播，跟机器人,否,评论含糊不清
有合适12岁女孩用的？,是,提问适合直播
我也是这样！,否,内容过于模糊
红包雨,是,适合直播环境
闹钟闹了凌晨没放券,是,反映优惠问题
正品吗？,是,提问商品真伪
有暗黄的吗,是,询问产品颜色
直播间下单需要备注吗,是,提问适合直播
有特安组合装吗？,是,提问适合直播
直播间下单格外赠送spa券，需要备注吗,是,提问适合直播环境
油皮抗衰用哪一款啊,是,提问适合直播
这ai比较逼真而已,是,评论内容有效
好吧走了,否,内容无实际意义
防晒介绍下,是,提问适合直播
现在拍价格是最优惠的吗,是,询问优惠情况
已下单,是,表明购买行为
卸妆油链接是哪款？,是,提问商品信息
防晒怎么买,是,提问适合直播
冲500点都没有,是,表达观看感受
想要云朵包的话需要备注什么嘛,是,提问适合直播
36斤宝宝拉拉裤有吗,是,询问商品信息
紫色的那款水乳啥时候上呀,是,询问产品上架时间
虎年限定是只有瓶子不一样，成分都一样么,是,提问产品成分
0.01怎么买,是,询问购买方式
黄色包装棉巾个白色包装的有什么区别,是,提问产品区别
这是AI在播吗,是,提问直播内容
什么时候有500赠570,是,询问优惠活动
离乳奶嘴在几号链接,是,询问产品链接
他家遛人,否,内容不明确
价格涨了5.60,是,提及价格变动
虎年限定一样成分么,是,提问产品成分
晚上熬夜等充值也没有上,是,反映充值问题
好漂亮的,是,评论积极且恰当
买完了买完了,是,表达购买行为
秒杀,是,询问秒杀活动
抠搜的,否,无实际意义
24岁男士，选择哪款？,是,提问适合直播
眉笔怎么买核算？,是,提问购买相关
清新帮拉拉裤有什么活动,是,询问商品活动
48岁的女性适合么子精华,是,提问适合产品
淡痘印是哪个链接,是,询问产品链接
4825能远程吗？,是,询问产品信息
100的券怎么领,是,询问优惠领取
53和164有优惠吗,是,询问商品优惠
0点是不是没有那个500570的购物金,是,询问购物金情况
等到时间也没看见,是,观众等待反馈
袋鼠拉拉裤有吗,是,询问商品信息
想要拉拉裤,是,询问产品信息
16斤，4个月,是,可能询问产品重量
要拉拉裤,是,询问产品信息
口红偏暗红系列拍哪款,是,提问适合直播
有没有去黄美白淡斑的套装,是,提问适合直播
请问有两个浓度A醇的套组吗,是,提问适合直播
哪个套装,是,提问商品信息
2775怎么没货,是,询问商品库存
买纸尿裤有赠品吗？,是,提问适合直播
一级帮XL有货吗,是,询问商品信息
效果这么好,是,评论内容适宜
内裤呢，好评,是,可能询问商品
下单需要口号吗？,是,适合电商提问
19.9秒杀的开始了吗,是,询问秒杀开始
399什么时候有,是,询问商品信息
Ai？,否,内容含糊
机器人直播的吗,是,提问适合直播
多少包邮,是,询问邮费政策
皮肤黄,是,询问产品推荐
什么时候换真人,是,提问适合直播
10点有抢券吗,是,询问活动信息
面霜,是,询问产品信息
399减100的劵有吗,是,询问优惠信息
几点,否,内容不明确
30岁选哪个,是,提问适合直播
九点抢送什么,是,提问直播内容
请问一下50多岁哪一款精华？,是,提问适合直播
今天有送东西吗,是,提问适合直播
你好我想问一下修丽可抗衰精华面霜是不是摸上去有些白,是,提问产品使用
一分钱权益，100块钱的回购券怎么用的？,是,提问适合直播
我回购怎么没有减啊,是,提问购买问题
真的不错哟,是,评论积极且恰当
充值卡啥时候上,是,询问商品上架
充值金在几号呢,是,询问充值时间
置顶链接没有呢,是,询问直播内容
今天送什么,是,提问适合直播
皮肤干，脱皮，用蓝朋友还是小云朵？,是,提问适合直播
怎么抽奖,是,提问抽奖方法
max3介绍一下,是,提问产品信息
直播下单享加赠,是,适合电商直播
怎么安装的,是,提问适合直播
手机怎么安装,是,提问适合直播
多少钱一瓶,是,询问产品价格
4825墨盒怎么下单,是,询问商品下单
谢谢，拍了,是,表达购买行为
看下四维修护套装,是,提问产品信息
介绍一下洗发,是,提问适合直播
大家好,是,普通问候语
昨天买的还能抽吗,是,提问适合直播
tank588用更换废墨收集垫吗,是,提问适合直播
有潘婷套盒没，团建用,是,询问产品信息
买了后怎么申请领镭射杯啊？,是,提问适合直播环境
虚拟的？,否,内容含糊
讲一下10,否,内容不明确
上午好主播,是,问候语，适合直播
有583吗,是,询问商品信息
送杯子吗,是,提问适合直播
518是墨盒吗,是,询问产品信息
面霜有什么赠品,是,提问适合直播
儿童适合用哪款好,是,提问适合产品
男童,否,内容不明确
轻微出油,是,提问适合直播
12岁男孩用,是,询问产品推荐
这会买有赠品吗,是,询问赠品情况
下面实付459,是,询问商品价格
都可以送吗,是,提问适合直播
姨妈巾推荐,是,提问适合直播
怎么没有优惠券了,是,询问优惠信息
1188w和136w什么区别,是,询问产品区别
家用哪个性价比高,是,提问适合直播
儿童过敏皮肤干用什么,是,提问适合直播
家用选1188还是136,是,提问产品型号
下单备注送什么,是,提问适合直播
是真人吗？说话像机器人,是,提问适合直播
哪三款是经典？,是,提问适合直播
40条的安睡裤没货了？,是,询问商品存货
40条的安睡裤没货了吗？,是,询问商品库存
会员购2件还有赠品吗,是,提问适合直播
怎么在购物车0.01加购,是,提问购物操作
0.01加购不了,是,询问加购问题
蓝色药丸拍哪个最划算,是,询问产品性价比
直播间赠凝胶吗,是,提问适合直播
第六代的几天用一次呀,是,提问产品使用频率
一般用几档,是,提问商品信息
什么时候直播,是,询问直播时间
518有什么赠品吗,是,询问赠品信息
油痘肌适合吗？,是,提问适合产品
主播现在下单送什么,是,提问适合直播
直播间什么优惠,是,提问优惠信息
拍下不显示直播间的赠品,是,提问适合直播环境
我来了我来了,是,观众打招呼
主播好帅,是,评论积极正面
我刚来这个多少钱啊,是,询问产品价格
还有别的吗,是,提问适合直播
一千减60的优惠卷,是,适合电商环境
抢不到,是,表达购买意向
优惠卷,是,询问优惠信息
精华有吗,是,提问商品信息
老年斑哪一款合适,是,提问产品信息
买精华液有送吗,是,提问适合直播
油发用那个比较好？,是,提问适合直播
录播吗？,是,提问直播状态
是真人客服嘛~,是,提问客服状态
发什么快递,是,提问快递信息
啥气候抽奖的,否,内容不明确
29车的讲一下,是,询问特定商品
直接下单，会员加赠的赠品有的吗,是,提问适合直播
我想买两瓶水,是,适合电商环境
直播间下单会多送哪些,是,提问适合直播
油皮可以用吗,是,提问适合直播
推荐油皮面霜，不油腻清爽的，谢谢,是,提问适合直播
身体乳宝宝能用吗,是,提问适合直播
清洁泡沫和洁面乳有什么区别,是,提问适合直播
已拍绿标，希望好用,是,表明购买意向
13岁青春期男孩战痘可以用吗？,是,提问适合直播
请问C乳与PM乳的区别？,否,内容不适宜
主播姐姐好,是,正常互动评论
绿标今天怎么比昨天还贵,是,询问商品价格
毛孔粗大,是,提问适合直播
推荐,是,简短有效评论
大白罐五个月宝宝可以用吗,是,提问适合直播
日期新鲜吗,是,提问适合直播
大白罐孕妇能用吗,是,提问适合直播
生产日期是什么时候的呢,是,提问产品信息
200减20的我怎么领取,是,询问优惠领取
皮肤干适合这款吗,是,提问适合直播
我分开买两个175的,是,询问商品价格
会赠送吗,是,询问活动细节
混干皮适合的哪款洗面奶,是,提问清晰有效
多少包邮,是,询问邮费政策
199送两片,是,询问商品优惠
宝宝能用吗,是,提问适合直播
ex乳液有吗？,是,询问产品信息
粉和绿有啥区别,是,提问适合直播
油头蓬松用哪款,是,提问适合直播
plus还单独再赠凝胶嘛,是,提问商品信息
买六代,是,询问产品型号
美女你好,是,礼貌问候
备注丝塔芙大卖就好了嘛,是,适合电商环境
现在有增吗？,是,提问适合直播
身体乳是哪个,是,提问商品信息
小孩子推荐哪个,是,提问适合直播
三个月的宝宝推荐一款保湿的,是,提问适合直播
哪个是身体乳？,是,提问适合直播
快递,是,询问快递
怎么抽奖啊,是,提问抽奖流程
怎么下单？,是,提问适合直播
大家中午好,是,问候语，适合环境
点进去说活动太火爆了,是,反映活动热度
什么时候可以抽奖啊,是,提问抽奖时间
痘印推荐哪款洗面奶,是,提问适合直播
痘印洗面奶,是,提问商品信息
250的券啥时候能抢,是,询问优惠信息
有痘痘买那个？,是,提问产品信息
主播气质很好,是,评论积极且恰当
你是人还是电脑？,否,无实际意义
直播间下单有赠品吗,是,提问适合直播
资生堂服贴膜直播间下单有什么优惠,是,询问优惠信息
想抗老用哪个,是,提问适合直播
蓝丸和绿丸区别呢,是,提问内容相关
现在下单有什么优惠,是,提问适合直播
中午好！,是,问候语，适合环境
效果怎么样？主持人,是,提问适合直播
有满减卷吗,是,提问适合直播
水乳怎么买合适,是,提问适合直播
熬夜起油了用哪款,是,提问产品使用
防晒敏感肌能用吗,是,提问适合直播
27怎么做到98,否,内容不明确
眼绷带买正装赠送什么,是,提问适合直播
怎样参与呢,是,提问适合直播
199的怎么买，有什么优惠,是,询问产品优惠
眼绷带赠送什么,是,提问适合直播
走红霜效果好吗,是,提问产品效果
混油用哪,否,内容不明确
Pro和正常什么区别,是,提问内容相关
有红包雨吗,是,询问活动信息
在直播间购买有额外优惠不？,是,适合电商提问
34和33,否,内容不明确
升级款和蓝丸的区别,是,提问适合直播环境
这是so吧,否,内容含糊
小样满多少赠送的,是,询问促销信息
讲一下洗面奶,是,提问适合直播
干,否,内容无实际意义
洗面奶,是,询问产品信息
AI直播？,是,提问适合直播
哪一款是加厚的？,是,提问适合直播
AI主播[-666],否,纯表情符号
Pm乳两瓶装又啥赠品呢,是,询问赠品信息
优惠券呢？,是,询问优惠信息
洗面奶，今天有活动吗？男士控油,是,提问适合直播
这款洗面奶，有没有活动？,是,询问商品活动
早鸟锁定,是,适合电商环境
像ai,否,内容不明确
今天有250的券了吗,是,询问优惠信息
主播是电脑人吗,是,提问主播身份
优惠券有吗,是,询问优惠信息
山参系列有乳液吗,是,提问产品信息
妈妈用哪款合适,是,提问适合直播
激光和墨盒哪个好,是,提问适合直播
精华水和紧肤露两款套餐怎么选噢,是,提问适合直播
送什么的,是,询问商品信息
4825与518的区别,是,提问内容相关
淡痘印，提亮美白用哪款,是,提问适合直播环境
小银管和其他的有什么区别？,是,提问内容相关
加墨水和换墨盒那个成本高些？,是,提问适合直播
这不是真人吧？,是,提问直播真实性
是两瓶吗,是,提问商品数量
有没有光感水跟小奶罐的链接,是,询问产品链接
1136w可以双面打印吗？,是,提问产品功能
色修喷雾有没有,是,提问产品信息
便宜一点儿,是,询问价格
怎么抽星品,是,提问商品信息
我刚已经下单了,是,反映购买行为
几点抽奖,是,询问活动时间
只用得到20的卷,否,内容不明确
这个好棒啊,是,正面评价
测试信息,否,内容无实际意义
发什么快递？,是,适合电商提问
隔离防晒霜好用吗,是,提问产品使用感
现在是真人主播吗？,是,提问适合直播
推荐一款打印a3黑白机办公室用,是,提问适合直播环境
不要彩色,是,适合直播环境
推荐一下家用,否,内容不明确
K乳链接,否,内容不当
需要家用，不费耗材,是,提问适合直播
婴儿可以用吗,是,提问适合直播
办公室用那种,是,提问商品信息
26甘,否,内容不明确
给带墨的不,否,内容不明确
洗面奶在几号链接,是,询问商品链接
能看到我说话吗,是,提问检查直播
拍哪个,是,提问商品信息
包邮吗,是,适合电商提问
下单了,是,表明已购买
迷你的六件怎么不包邮呢,是,询问邮费情况
会反弹？,是,可能询问产品
pm乳两支装上一下库存,是,询问库存信息
来了,是,观众打招呼
彩色双面扫面,是,提问适合直播
彩色双面扫面一体,是,提问产品功能
双面打印彩色，PDF双面扫描,是,提问适合直播
办公双面打印彩色扫描,是,提问适合直播
我都想要40片安睡裤,是,提出购买需求
199送两片面膜,是,促销信息有效
已下单。,是,表明购买行为
1108机呢,是,询问商品信息
